"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 28 15:37:54 BOT 2022","Mon Mar 28 15:38:06 BOT 2022","12241","","Calculadora","","","","Usuário realiza operação matemática de divisão",""
"passed","Mon Mar 28 15:35:38 BOT 2022","Mon Mar 28 15:35:47 BOT 2022","8948","","Calculadora","","","","Usuário pressiona dois números",""
"passed","Mon Mar 28 15:38:31 BOT 2022","Mon Mar 28 15:38:55 BOT 2022","23608","","Calculadora","","","","Usuário tenta inserir mais do que 16 casas permitidas",""
"passed","Mon Mar 28 15:36:39 BOT 2022","Mon Mar 28 15:36:58 BOT 2022","18524","","Calculadora","","","","Usuário realiza operação matemática de subtração com números decimais",""
"passed","Mon Mar 28 15:37:40 BOT 2022","Mon Mar 28 15:37:54 BOT 2022","14023","","Calculadora","","","","Usuário realiza operação matemática de multiplicação com um fator decimal e o outro negativo",""
"passed","Mon Mar 28 15:36:26 BOT 2022","Mon Mar 28 15:36:39 BOT 2022","13028","","Calculadora","","","","Usuário realiza operação matemática de subtração",""
"passed","Mon Mar 28 15:35:47 BOT 2022","Mon Mar 28 15:35:57 BOT 2022","9997","","Calculadora","","","","Usuário realiza operação matemática de soma com números positivos",""
"passed","Mon Mar 28 15:35:57 BOT 2022","Mon Mar 28 15:36:13 BOT 2022","15790","","Calculadora","","","","Usuário realiza operação matemática de soma com números decimais",""
"passed","Mon Mar 28 15:37:10 BOT 2022","Mon Mar 28 15:37:24 BOT 2022","13992","","Calculadora","","","","Usuário realiza operação matemática de multiplicação com dois fatores negativos",""
"passed","Mon Mar 28 15:38:20 BOT 2022","Mon Mar 28 15:38:31 BOT 2022","10938","","Calculadora","","","","Usuário tenta realizar operação matemática de divisão por zero",""
"passed","Mon Mar 28 15:38:06 BOT 2022","Mon Mar 28 15:38:20 BOT 2022","13922","","Calculadora","","","","Usuário realiza operação matemática de divisão com divisor decimal e negativo",""
"passed","Mon Mar 28 15:36:13 BOT 2022","Mon Mar 28 15:36:26 BOT 2022","12993","","Calculadora","","","","Usuário realiza operação matemática de soma com número negativo",""
"passed","Mon Mar 28 15:36:58 BOT 2022","Mon Mar 28 15:37:10 BOT 2022","12179","","Calculadora","","","","Usuário realiza operação matemática de multiplicação",""
"passed","Mon Mar 28 15:37:24 BOT 2022","Mon Mar 28 15:37:40 BOT 2022","16223","","Calculadora","","","","Usuário realiza operação matemática de multiplicação em condição de overflow",""
